,year,month,day,death_rate,new_death_rate,countrycode
0,2020,1,21,0.0,.,1000
1,2020,1,22,0.0,.,1000
2,2020,1,23,0.0,.,1000
3,2020,1,24,0.0,.,1000
4,2020,1,25,0.0,.,1000
5,2020,1,26,0.0,.,1000
6,2020,1,27,0.0,0,1000
7,2020,1,28,0.0,0,1000
8,2020,1,29,0.0,0,1000
9,2020,1,30,0.0,0,1000
10,2020,1,31,0.0,0,1000
11,2020,2,1,0.0,0,1000
12,2020,2,2,0.0,0,1000
13,2020,2,3,0.0,0,1000
14,2020,2,4,0.0,0,1000
15,2020,2,5,0.0,0,1000
16,2020,2,6,0.0,0,1000
17,2020,2,7,0.0,0,1000
18,2020,2,8,0.0,0,1000
19,2020,2,9,0.0,0,1000
20,2020,2,10,0.0,0,1000
21,2020,2,11,0.0,0,1000
22,2020,2,12,0.0,0,1000
23,2020,2,13,0.0,0,1000
24,2020,2,14,0.0,0,1000
25,2020,2,15,0.0,0,1000
26,2020,2,16,0.0,0,1000
27,2020,2,17,0.0,0,1000
28,2020,2,18,0.0,0,1000
29,2020,2,19,0.0,0,1000
30,2020,2,20,0.0,0,1000
31,2020,2,21,0.0,0,1000
32,2020,2,22,0.0,0,1000
33,2020,2,23,0.0,0,1000
34,2020,2,24,0.0,0,1000
35,2020,2,25,0.0,0,1000
36,2020,2,26,0.0,0,1000
37,2020,2,27,0.0,0,1000
38,2020,2,28,0.0,0,1000
39,2020,2,29,0.000305,.0000435,1000
40,2020,3,1,0.0009140000000000001,.000131,1000
41,2020,3,2,0.00183,.000261,1000
42,2020,3,3,0.00305,.000435,1000
43,2020,3,4,0.00366,.000522,1000
44,2020,3,5,0.00366,.000522,1000
45,2020,3,6,0.00457,.000653,1000
46,2020,3,7,0.00579,.000783,1000
47,2020,3,8,0.0067,.000827,1000
48,2020,3,9,0.00792,.00087,1000
49,2020,3,10,0.00944,.000914,1000
50,2020,3,11,0.0113,.00109,1000
51,2020,3,12,0.0131,.00135,1000
52,2020,3,13,0.0152,.00152,1000
53,2020,3,14,0.0183,.00178,1000
54,2020,3,15,0.0207,.002,1000
55,2020,3,16,0.0277,.00283,1000
56,2020,3,17,0.0356,.00374,1000
57,2020,3,18,0.0494,.00544,1000
58,2020,3,19,0.0646,.00736,1000
59,2020,3,20,0.0844,.00988,1000
60,2020,3,21,0.109,.013,1000
61,2020,3,22,0.139,.0169,1000
62,2020,3,23,0.175,.0211,1000
63,2020,3,24,0.23800000000000002,.0289,1000
64,2020,3,25,0.32,.0387,1000
65,2020,3,26,0.41100000000000003,.0495,1000
66,2020,3,27,0.5379999999999999,.0648,1000
67,2020,3,28,0.6990000000000001,.0843,1000
68,2020,3,29,0.826,.0982,1000
69,2020,3,30,1.02,.121,1000
70,2020,3,31,1.31,.153,1000
71,2020,4,1,1.62,.185,1000
72,2020,4,2,1.99,.225,1000
73,2020,4,3,2.41,.267,1000
74,2020,4,4,2.88,.312,1000
75,2020,4,5,3.3,.353,1000
76,2020,4,6,3.76,.391,1000
77,2020,4,7,4.44,.448,1000
78,2020,4,8,5.08,.494,1000
79,2020,4,9,5.72,.533,1000
80,2020,4,10,6.41,.571,1000
81,2020,4,11,7.04,.594,1000
82,2020,4,12,7.55,.608,1000
83,2020,4,13,8.09,.618,1000
84,2020,4,14,8.92,.639,1000
85,2020,4,15,9.75,.668,1000
86,2020,4,16,10.5,.678,1000
87,2020,4,17,11.2,.679,1000
88,2020,4,18,11.8,.673,1000
89,2020,4,19,12.2,.667,1000
90,2020,4,20,12.8,.67,1000
91,2020,4,21,13.6,.669,1000
92,2020,4,22,14.3,.652,1000
93,2020,4,23,15.0,.644,1000
94,2020,4,24,15.6,.637,1000
95,2020,4,25,16.2,.637,1000
96,2020,4,26,16.6,.625,1000
97,2020,4,27,17.0,.608,1000
98,2020,4,28,17.8,.596,1000
99,2020,4,29,18.5,.602,1000
100,2020,4,30,19.2,.604,1000
101,2020,5,1,19.7,.589,1000
102,2020,5,2,20.2,.572,1000
103,2020,5,3,20.6,.575,1000
104,2020,5,4,21.0,.56,1000
105,2020,5,5,21.6,.553,1000
106,2020,5,6,22.5,.562,1000
107,2020,5,7,23.1,.551,1000
108,2020,5,8,23.5,.543,1000
109,2020,5,9,24.0,.537,1000
110,2020,5,10,24.3,.519,1000
111,2020,5,11,24.6,.515,1000
112,2020,5,12,25.1,.489,1000
113,2020,5,13,25.6,.448,1000
114,2020,5,14,26.1,.439,1000
115,2020,5,15,26.6,.44,1000
116,2020,5,16,27.0,.43,1000
117,2020,5,17,27.2,.426,1000
118,2020,5,18,27.5,.42,1000
119,2020,5,19,28.0,.415,1000
120,2020,5,20,28.4,.402,1000
121,2020,5,21,28.8,.383,1000
122,2020,5,22,29.2,.37,1000
123,2020,5,23,29.5,.363,1000
124,2020,5,24,29.7,.353,1000
125,2020,5,25,29.9,.338,1000
126,2020,5,26,30.1,.305,1000
127,2020,5,27,30.6,.305,1000
128,2020,5,28,30.9,.3,1000
129,2020,5,29,31.3,.296,1000
130,2020,5,30,31.6,.292,1000
131,2020,5,31,31.8,.291,1000
132,2020,6,1,32.0,.301,1000
133,2020,6,2,32.3,.315,1000
134,2020,6,3,32.6,.294,1000
135,2020,6,4,32.9,.286,1000
136,2020,6,5,33.3,.282,1000
137,2020,6,6,33.5,.272,1000
138,2020,6,7,33.6,.263,1000
139,2020,6,8,33.8,.262,1000
140,2020,6,9,34.1,.26,1000
141,2020,6,10,34.4,.257,1000
142,2020,6,11,34.7,.252,1000
143,2020,6,12,34.9,.237,1000
144,2020,6,13,35.1,.236,1000
145,2020,6,14,35.2,.232,1000
146,2020,6,15,35.4,.221,1000
147,2020,6,16,35.6,.209,1000
148,2020,6,17,35.8,.202,1000
149,2020,6,18,36.0,.195,1000
150,2020,6,19,36.3,.192,1000
151,2020,6,20,36.4,.186,1000
152,2020,6,21,36.5,.183,1000
153,2020,6,22,36.6,.179,1000
154,2020,6,23,36.8,.179,1000
155,2020,6,24,37.1,.179,1000
156,2020,6,25,37.3,.175,1000
157,2020,6,26,37.5,.172,1000
158,2020,6,27,37.6,.171,1000
159,2020,6,28,37.7,.171,1000
160,2020,6,29,37.8,.171,1000
161,2020,6,30,38.0,.167,1000
162,2020,7,1,38.2,.161,1000
163,2020,7,2,38.4,.165,1000
164,2020,7,3,38.6,.163,1000
165,2020,7,4,38.7,.153,1000
166,2020,7,5,38.8,.152,1000
167,2020,7,6,38.9,.154,1000
168,2020,7,7,39.2,.166,1000
169,2020,7,8,39.5,.18,1000
170,2020,7,9,39.7,.185,1000
171,2020,7,10,40.0,.195,1000
172,2020,7,11,40.2,.213,1000
173,2020,7,12,40.3,.219,1000
174,2020,7,13,40.4,.22,1000
175,2020,7,14,40.7,.22,1000
176,2020,7,15,41.0,.221,1000
177,2020,7,16,41.3,.226,1000
178,2020,7,17,41.6,.229,1000
179,2020,7,18,41.8,.234,1000
180,2020,7,19,41.9,.234,1000
181,2020,7,20,42.1,.239,1000
182,2020,7,21,42.4,.247,1000
183,2020,7,22,42.8,.254,1000
184,2020,7,23,43.1,.26,1000
185,2020,7,24,43.5,.271,1000
186,2020,7,25,43.7,.275,1000
187,2020,7,26,43.9,.277,1000
188,2020,7,27,44.1,.279,1000
189,2020,7,28,44.5,.287,1000
190,2020,7,29,44.9,.299,1000
191,2020,7,30,45.3,.305,1000
192,2020,7,31,45.7,.317,1000
193,2020,8,1,46.0,.325,1000
194,2020,8,2,46.1,.324,1000
195,2020,8,3,46.3,.325,1000
196,2020,8,4,46.7,.326,1000
197,2020,8,5,47.1,.32,1000
198,2020,8,6,47.4,.311,1000
199,2020,8,7,47.8,.308,1000
200,2020,8,8,48.1,.304,1000
201,2020,8,9,48.3,.309,1000
202,2020,8,10,48.5,.306,1000
203,2020,8,11,48.9,.31,1000
204,2020,8,12,49.4,.32,1000
205,2020,8,13,49.7,.326,1000
206,2020,8,14,50.1,.318,1000
207,2020,8,15,50.4,.322,1000
208,2020,8,16,50.5,.321,1000
209,2020,8,17,50.7,.321,1000
210,2020,8,18,51.1,.316,1000
211,2020,8,19,51.5,.308,1000
212,2020,8,20,51.8,.301,1000
213,2020,8,21,52.2,.3,1000
214,2020,8,22,52.5,.296,1000
215,2020,8,23,52.6,.292,1000
216,2020,8,24,52.7,.291,1000
217,2020,8,25,53.1,.285,1000
218,2020,8,26,53.5,.281,1000
219,2020,8,27,53.8,.285,1000
220,2020,8,28,54.1,.278,1000
221,2020,8,29,54.4,.275,1000
222,2020,8,30,54.5,.272,1000
